team_name,season_id,all_star_number
Minnesota Timberwolves,22014,1
Minnesota Timberwolves,22015,0
Minnesota Timberwolves,22016,0
Minnesota Timberwolves,22018,1
Minnesota Timberwolves,22019,1
Minnesota Timberwolves,22020,1
Minnesota Timberwolves,22021,0
Minnesota Timberwolves,22022,1
New Jersey Nets,21989,0
New Jersey Nets,21990,0
New Jersey Nets,21991,0
New Jersey Nets,21992,0
New Jersey Nets,21993,0
New Jersey Nets,21994,2
New Jersey Nets,21995,0
New Jersey Nets,21996,0
New Jersey Nets,21997,0
New Jersey Nets,21998,1
New Jersey Nets,21999,0
New Jersey Nets,22000,0
New Jersey Nets,22001,1
New Jersey Nets,22002,1
New Jersey Nets,22003,1
New Jersey Nets,22004,2
New Jersey Nets,22005,1
New Jersey Nets,22006,1
New Jersey Nets,22007,1
New Jersey Nets,22008,1
New Jersey Nets,22009,1
New Jersey Nets,22010,0
New Jersey Nets,22011,0
New Jersey Nets,22012,1
New Jersey Nets,22013,0
New Jersey Nets,22014,0
New Jersey Nets,22015,0
New Jersey Nets,22016,0
New Jersey Nets,22018,0
New Jersey Nets,22019,0
New Jersey Nets,22020,0
New Jersey Nets,22021,0
New Jersey Nets,22022,0
New Orleans Hornets,21989,0
New Orleans Hornets,21990,0
New Orleans Hornets,21991,0
New Orleans Hornets,21992,0
New Orleans Hornets,21993,0
New Orleans Hornets,21994,0
New Orleans Hornets,21995,0
New Orleans Hornets,21996,0
New Orleans Hornets,21997,0
New Orleans Hornets,21998,0
New Orleans Hornets,21999,0
New Orleans Hornets,22000,0
New Orleans Hornets,22001,0
New Orleans Hornets,22002,0
New Orleans Hornets,22003,1
New Orleans Hornets,22004,2
New Orleans Hornets,22005,0
New Orleans Hornets,22006,0
New Orleans Hornets,22007,0
New Orleans Hornets,22008,2
New Orleans Hornets,22009,2
New Orleans Hornets,22010,0
New Orleans Hornets,22011,1
New Orleans Hornets,22012,0
New Orleans Hornets,22013,0
New Orleans Hornets,22014,0
New Orleans Hornets,22015,0
New Orleans Hornets,22016,0
New Orleans Hornets,22018,0
New Orleans Hornets,22019,0
New Orleans Hornets,22020,0
New Orleans Hornets,22021,0
New Orleans Hornets,22022,0
New Orleans Pelicans,21989,0
New Orleans Pelicans,21990,0
New Orleans Pelicans,21991,0
New Orleans Pelicans,21992,0
New Orleans Pelicans,21993,0
New Orleans Pelicans,21994,0
New Orleans Pelicans,21995,0
New Orleans Pelicans,21996,0
New Orleans Pelicans,21997,0
New Orleans Pelicans,21998,0
New Orleans Pelicans,21999,0
New Orleans Pelicans,22000,0
New Orleans Pelicans,22001,0
New Orleans Pelicans,22002,0
New Orleans Pelicans,22003,0
New Orleans Pelicans,22004,0
New Orleans Pelicans,22005,0
New Orleans Pelicans,22006,0
New Orleans Pelicans,22007,0
New Orleans Pelicans,22008,0
New Orleans Pelicans,22009,0
New Orleans Pelicans,22010,0
New Orleans Pelicans,22011,0
New Orleans Pelicans,22012,0
New Orleans Pelicans,22013,0
New Orleans Pelicans,22014,1
New Orleans Pelicans,22015,0
New Orleans Pelicans,22016,1
New Orleans Pelicans,22018,1
New Orleans Pelicans,22019,1
New Orleans Pelicans,22020,1
New Orleans Pelicans,22021,1
New Orleans Pelicans,22022,0
New Orleans/Oklahoma City Hornets,21989,0
New Orleans/Oklahoma City Hornets,21990,0
New Orleans/Oklahoma City Hornets,21991,0
New Orleans/Oklahoma City Hornets,21992,0
New Orleans/Oklahoma City Hornets,21993,0
New Orleans/Oklahoma City Hornets,21994,0
New Orleans/Oklahoma City Hornets,21995,0
New Orleans/Oklahoma City Hornets,21996,0
New Orleans/Oklahoma City Hornets,21997,0
New Orleans/Oklahoma City Hornets,21998,0
New Orleans/Oklahoma City Hornets,21999,0
New Orleans/Oklahoma City Hornets,22000,0
New Orleans/Oklahoma City Hornets,22001,0
New Orleans/Oklahoma City Hornets,22002,0
New Orleans/Oklahoma City Hornets,22003,0
New Orleans/Oklahoma City Hornets,22004,0
New Orleans/Oklahoma City Hornets,22005,0
New Orleans/Oklahoma City Hornets,22006,0
New Orleans/Oklahoma City Hornets,22007,0
New Orleans/Oklahoma City Hornets,22008,0
New Orleans/Oklahoma City Hornets,22009,0
New Orleans/Oklahoma City Hornets,22010,0
New Orleans/Oklahoma City Hornets,22011,0
New Orleans/Oklahoma City Hornets,22012,0
New Orleans/Oklahoma City Hornets,22013,0
New Orleans/Oklahoma City Hornets,22014,0
New Orleans/Oklahoma City Hornets,22015,0
New Orleans/Oklahoma City Hornets,22016,0
New Orleans/Oklahoma City Hornets,22018,0
New Orleans/Oklahoma City Hornets,22019,0
New Orleans/Oklahoma City Hornets,22020,0
New Orleans/Oklahoma City Hornets,22021,0
New Orleans/Oklahoma City Hornets,22022,0
New York Knicks,21989,2
New York Knicks,21990,1
New York Knicks,21991,1
New York Knicks,21992,1
New York Knicks,21993,1
New York Knicks,21994,1
New York Knicks,21995,1
New York Knicks,21996,1
New York Knicks,21997,0
New York Knicks,21998,0
New York Knicks,21999,0
New York Knicks,22000,1
New York Knicks,22001,2
New York Knicks,22002,0
New York Knicks,22003,0
New York Knicks,22004,0
New York Knicks,22005,0
New York Knicks,22006,0
New York Knicks,22007,0
New York Knicks,22008,0
New York Knicks,22009,0
New York Knicks,22010,1
New York Knicks,22011,1
New York Knicks,22012,1
New York Knicks,22013,2
New York Knicks,22014,1
New York Knicks,22015,1
New York Knicks,22016,1
New York Knicks,22018,0
New York Knicks,22019,0
New York Knicks,22020,0
New York Knicks,22021,1
New York Knicks,22022,0
Oklahoma City Thunder,21989,0
Oklahoma City Thunder,21990,0
Oklahoma City Thunder,21991,0
Oklahoma City Thunder,21992,0
Oklahoma City Thunder,21993,0
Oklahoma City Thunder,21994,0
Oklahoma City Thunder,21995,0
Oklahoma City Thunder,21996,0
Oklahoma City Thunder,21997,0
Oklahoma City Thunder,21998,0
Oklahoma City Thunder,21999,0
Oklahoma City Thunder,22000,0
Oklahoma City Thunder,22001,0
Oklahoma City Thunder,22002,0
Oklahoma City Thunder,22003,0
Oklahoma City Thunder,22004,0
Oklahoma City Thunder,22005,0
Oklahoma City Thunder,22006,0
Oklahoma City Thunder,22007,0
Oklahoma City Thunder,22008,0
Oklahoma City Thunder,22009,0
Oklahoma City Thunder,22010,1
Oklahoma City Thunder,22011,2
Oklahoma City Thunder,22012,2
Oklahoma City Thunder,22013,2
Oklahoma City Thunder,22014,1
Oklahoma City Thunder,22015,2
Oklahoma City Thunder,22016,2
Oklahoma City Thunder,22018,2
Oklahoma City Thunder,22019,2
Oklahoma City Thunder,22020,1
Oklahoma City Thunder,22021,0
Oklahoma City Thunder,22022,0
Orlando Magic,21989,0
Orlando Magic,21990,0
Orlando Magic,21991,0
Orlando Magic,21992,0
Orlando Magic,21993,1
Orlando Magic,21994,1
Orlando Magic,21995,2
Orlando Magic,21996,2
Orlando Magic,21997,1
Orlando Magic,21998,1
Orlando Magic,21999,0
Orlando Magic,22000,0
Orlando Magic,22001,1
Orlando Magic,22002,1
Orlando Magic,22003,1
Orlando Magic,22004,1
Orlando Magic,22005,1
Orlando Magic,22006,0
Orlando Magic,22007,1
Orlando Magic,22008,1
Orlando Magic,22009,2
Orlando Magic,22010,1
Orlando Magic,22011,1
Orlando Magic,22012,1
Orlando Magic,22013,0
Orlando Magic,22014,0
Orlando Magic,22015,0
Orlando Magic,22016,0
Orlando Magic,22018,0
Orlando Magic,22019,1
Orlando Magic,22020,0
Orlando Magic,22021,1
Orlando Magic,22022,0
Philadelphia 76ers,21989,1
Philadelphia 76ers,21990,1
Philadelphia 76ers,21991,2
Philadelphia 76ers,21992,1
Philadelphia 76ers,21993,0
Philadelphia 76ers,21994,0
Philadelphia 76ers,21995,1
Philadelphia 76ers,21996,0
Philadelphia 76ers,21997,0
Philadelphia 76ers,21998,0
Philadelphia 76ers,21999,0
Philadelphia 76ers,22000,1
Philadelphia 76ers,22001,1
Philadelphia 76ers,22002,2
Philadelphia 76ers,22003,1
Philadelphia 76ers,22004,1
Philadelphia 76ers,22005,1
Philadelphia 76ers,22006,1
Philadelphia 76ers,22007,0
Philadelphia 76ers,22008,0
Philadelphia 76ers,22009,0
Philadelphia 76ers,22010,0
Philadelphia 76ers,22011,0
Philadelphia 76ers,22012,1
Philadelphia 76ers,22013,1
Philadelphia 76ers,22014,0
Philadelphia 76ers,22015,0
Philadelphia 76ers,22016,0
Philadelphia 76ers,22018,1
Philadelphia 76ers,22019,2
Philadelphia 76ers,22020,2
Philadelphia 76ers,22021,0
Philadelphia 76ers,22022,1
Phoenix Suns,21989,1
Phoenix Suns,21990,2
Phoenix Suns,21991,2
Phoenix Suns,21992,2
Phoenix Suns,21993,2
Phoenix Suns,21994,1
Phoenix Suns,21995,2
Phoenix Suns,21996,1
Phoenix Suns,21997,0
Phoenix Suns,21998,1
Phoenix Suns,21999,0
Phoenix Suns,22000,1
Phoenix Suns,22001,1
Phoenix Suns,22002,0
Phoenix Suns,22003,2
Phoenix Suns,22004,0
Phoenix Suns,22005,3
Phoenix Suns,22006,2
Phoenix Suns,22007,2
Phoenix Suns,22008,2
Phoenix Suns,22009,2
Phoenix Suns,22010,2
Phoenix Suns,22011,0
Phoenix Suns,22012,1
Phoenix Suns,22013,0
Phoenix Suns,22014,0
Phoenix Suns,22015,0
Phoenix Suns,22016,0
Phoenix Suns,22018,0
Phoenix Suns,22019,0
Phoenix Suns,22020,1
Phoenix Suns,22021,1
Phoenix Suns,22022,1
Portland Trail Blazers,21989,2
Portland Trail Blazers,21990,1
Portland Trail Blazers,21991,3
Portland Trail Blazers,21992,1
Portland Trail Blazers,21993,2
Portland Trail Blazers,21994,2
Portland Trail Blazers,21995,0
Portland Trail Blazers,21996,0
Portland Trail Blazers,21997,0
Portland Trail Blazers,21998,0
Portland Trail Blazers,21999,0
Portland Trail Blazers,22000,1
Portland Trail Blazers,22001,1
Portland Trail Blazers,22002,0
Portland Trail Blazers,22003,0
Portland Trail Blazers,22004,0
Portland Trail Blazers,22005,0
Portland Trail Blazers,22006,0
Portland Trail Blazers,22007,0
Portland Trail Blazers,22008,1
Portland Trail Blazers,22009,1
Portland Trail Blazers,22010,0
Portland Trail Blazers,22011,0
Portland Trail Blazers,22012,1
Portland Trail Blazers,22013,1
Portland Trail Blazers,22014,2
Portland Trail Blazers,22015,2
Portland Trail Blazers,22016,0
Portland Trail Blazers,22018,1
Portland Trail Blazers,22019,1
Portland Trail Blazers,22020,0
Portland Trail Blazers,22021,1
Portland Trail Blazers,22022,0
Sacramento Kings,21989,0
Sacramento Kings,21990,0
Sacramento Kings,21991,0
Sacramento Kings,21992,0
Sacramento Kings,21993,0
Sacramento Kings,21994,1
Sacramento Kings,21995,1
Sacramento Kings,21996,1
Sacramento Kings,21997,1
Sacramento Kings,21998,1
Sacramento Kings,21999,0
Sacramento Kings,22000,1
Sacramento Kings,22001,2
Sacramento Kings,22002,2
Sacramento Kings,22003,1
Sacramento Kings,22004,2
Sacramento Kings,22005,0
Sacramento Kings,22006,0
Sacramento Kings,22007,0
Sacramento Kings,22008,0
Sacramento Kings,22009,0
Sacramento Kings,22010,0
Sacramento Kings,22011,0
Sacramento Kings,22012,0
Sacramento Kings,22013,0
Sacramento Kings,22014,0
Sacramento Kings,22015,1
Sacramento Kings,22016,1
Sacramento Kings,22018,0
Sacramento Kings,22019,0
Sacramento Kings,22020,0
Sacramento Kings,22021,0
Sacramento Kings,22022,0
San Antonio Spurs,21989,0
San Antonio Spurs,21990,1
San Antonio Spurs,21991,1
San Antonio Spurs,21992,1
San Antonio Spurs,21993,2
San Antonio Spurs,21994,1
San Antonio Spurs,21995,1
San Antonio Spurs,21996,2
San Antonio Spurs,21997,0
San Antonio Spurs,21998,2
San Antonio Spurs,21999,0
San Antonio Spurs,22000,2
San Antonio Spurs,22001,2
San Antonio Spurs,22002,1
San Antonio Spurs,22003,1
San Antonio Spurs,22004,1
San Antonio Spurs,22005,2
San Antonio Spurs,22006,2
San Antonio Spurs,22007,2
San Antonio Spurs,22008,1
San Antonio Spurs,22009,2
San Antonio Spurs,22010,1
San Antonio Spurs,22011,2
San Antonio Spurs,22012,1
San Antonio Spurs,22013,2
San Antonio Spurs,22014,1
San Antonio Spurs,22015,1
San Antonio Spurs,22016,1
San Antonio Spurs,22018,1
San Antonio Spurs,22019,1
San Antonio Spurs,22020,0
San Antonio Spurs,22021,0
San Antonio Spurs,22022,1
Seattle SuperSonics,21989,1
Seattle SuperSonics,21990,0
Seattle SuperSonics,21991,0
Seattle SuperSonics,21992,0
Seattle SuperSonics,21993,1
Seattle SuperSonics,21994,2
Seattle SuperSonics,21995,3
Seattle SuperSonics,21996,2
Seattle SuperSonics,21997,3
Seattle SuperSonics,21998,2
Seattle SuperSonics,21999,0
Seattle SuperSonics,22000,1
Seattle SuperSonics,22001,1
Seattle SuperSonics,22002,1
Seattle SuperSonics,22003,1
Seattle SuperSonics,22004,1
Seattle SuperSonics,22005,2
Seattle SuperSonics,22006,1
Seattle SuperSonics,22007,1
Seattle SuperSonics,22008,0
Seattle SuperSonics,22009,0
Seattle SuperSonics,22010,0
Seattle SuperSonics,22011,0
Seattle SuperSonics,22012,0
Seattle SuperSonics,22013,0
Seattle SuperSonics,22014,0
Seattle SuperSonics,22015,0
Seattle SuperSonics,22016,0
Seattle SuperSonics,22018,0
Seattle SuperSonics,22019,0
Seattle SuperSonics,22020,0
Seattle SuperSonics,22021,0
Seattle SuperSonics,22022,0
Toronto Raptors,21989,0
Toronto Raptors,21990,0
Toronto Raptors,21991,0
Toronto Raptors,21992,0
Toronto Raptors,21993,0
Toronto Raptors,21994,0
Toronto Raptors,21995,0
Toronto Raptors,21996,0
Toronto Raptors,21997,0
Toronto Raptors,21998,0
Toronto Raptors,21999,0
Toronto Raptors,22000,1
Toronto Raptors,22001,2
Toronto Raptors,22002,0
Toronto Raptors,22003,1
Toronto Raptors,22004,1
Toronto Raptors,22005,0
Toronto Raptors,22006,1
Toronto Raptors,22007,1
Toronto Raptors,22008,1
Toronto Raptors,22009,0
Toronto Raptors,22010,1
Toronto Raptors,22011,0
Toronto Raptors,22012,0
Toronto Raptors,22013,0
Toronto Raptors,22014,1
Toronto Raptors,22015,1
Toronto Raptors,22016,2
Toronto Raptors,22018,2
Toronto Raptors,22019,2
Toronto Raptors,22020,2
Toronto Raptors,22021,0
Toronto Raptors,22022,1
Utah Jazz,21989,2
Utah Jazz,21990,1
Utah Jazz,21991,2
Utah Jazz,21992,2
Utah Jazz,21993,2
Utah Jazz,21994,2
Utah Jazz,21995,2
Utah Jazz,21996,2
Utah Jazz,21997,2
Utah Jazz,21998,1
Utah Jazz,21999,0
Utah Jazz,22000,2
Utah Jazz,22001,1
Utah Jazz,22002,0
Utah Jazz,22003,0
Utah Jazz,22004,1
Utah Jazz,22005,0
Utah Jazz,22006,0
Utah Jazz,22007,1
Utah Jazz,22008,1
Utah Jazz,22009,0
Utah Jazz,22010,1
Utah Jazz,22011,1
Utah Jazz,22012,0
Utah Jazz,22013,0
Utah Jazz,22014,0
Utah Jazz,22015,0
Utah Jazz,22016,0
Utah Jazz,22018,0
Utah Jazz,22019,0
Utah Jazz,22020,2
Utah Jazz,22021,3
Utah Jazz,22022,1
Vancouver Grizzlies,21989,0
Vancouver Grizzlies,21990,0
Vancouver Grizzlies,21991,0
Vancouver Grizzlies,21992,0
Vancouver Grizzlies,21993,0
Vancouver Grizzlies,21994,0
Vancouver Grizzlies,21995,0
Vancouver Grizzlies,21996,0
Vancouver Grizzlies,21997,0
Vancouver Grizzlies,21998,0
Vancouver Grizzlies,21999,0
Vancouver Grizzlies,22000,0
Vancouver Grizzlies,22001,0
Vancouver Grizzlies,22002,0
Vancouver Grizzlies,22003,0
Vancouver Grizzlies,22004,0
Vancouver Grizzlies,22005,0
Vancouver Grizzlies,22006,0
Vancouver Grizzlies,22007,0
Vancouver Grizzlies,22008,0
Vancouver Grizzlies,22009,0
Vancouver Grizzlies,22010,0
Vancouver Grizzlies,22011,0
Vancouver Grizzlies,22012,0
Vancouver Grizzlies,22013,0
Vancouver Grizzlies,22014,0
Vancouver Grizzlies,22015,0
Vancouver Grizzlies,22016,0
Vancouver Grizzlies,22018,0
Vancouver Grizzlies,22019,0
Vancouver Grizzlies,22020,0
Vancouver Grizzlies,22021,0
Vancouver Grizzlies,22022,0
Washington Bullets,21989,0
Washington Bullets,21990,0
Washington Bullets,21991,1
Washington Bullets,21992,1
Washington Bullets,21993,0
Washington Bullets,21994,0
Washington Bullets,21995,0
Washington Bullets,21996,1
Washington Bullets,21997,1
Washington Bullets,21998,0
Washington Bullets,21999,0
Washington Bullets,22000,0
Washington Bullets,22001,0
Washington Bullets,22002,0
Washington Bullets,22003,0
Washington Bullets,22004,0
Washington Bullets,22005,0
Washington Bullets,22006,0
Washington Bullets,22007,0
Washington Bullets,22008,0
Washington Bullets,22009,0
Washington Bullets,22010,0
Washington Bullets,22011,0
Washington Bullets,22012,0
Washington Bullets,22013,0
Washington Bullets,22014,0
Washington Bullets,22015,0
Washington Bullets,22016,0
Washington Bullets,22018,0
Washington Bullets,22019,0
Washington Bullets,22020,0
Washington Bullets,22021,0
Washington Bullets,22022,0
Washington Wizards,21989,0
Washington Wizards,21990,0
Washington Wizards,21991,0
Washington Wizards,21992,0
Washington Wizards,21993,0
Washington Wizards,21994,0
Washington Wizards,21995,0
Washington Wizards,21996,0
Washington Wizards,21997,0
Washington Wizards,21998,0
Washington Wizards,21999,0
Washington Wizards,22000,0
Washington Wizards,22001,0
Washington Wizards,22002,1
Washington Wizards,22003,1
Washington Wizards,22004,0
Washington Wizards,22005,2
Washington Wizards,22006,1
Washington Wizards,22007,2
Washington Wizards,22008,1
Washington Wizards,22009,0
Washington Wizards,22010,0
Washington Wizards,22011,0
Washington Wizards,22012,0
Washington Wizards,22013,0
Washington Wizards,22014,1
Washington Wizards,22015,1
Washington Wizards,22016,1
Washington Wizards,22018,1
Washington Wizards,22019,1
Washington Wizards,22020,0
Washington Wizards,22021,1
Washington Wizards,22022,0